id,created_at,text
981924062858498054,2018-04-05 15:58:34,b'Love this shot from the 1975 Funny Lady Premiere in London. #tbt https://t.co/XRfPol2edX'
981616500384698368,2018-04-04 19:36:25,b'Buy 2 get 1 free. Shop now: https://t.co/CJWh2SMHpI https://t.co/VkiPJ7S6Vq'
981616185883152386,2018-04-04 19:35:10,b'President @realDonaldTrump is intentionally driving down Amazon stock with false information to punish the Washingt\xe2\x80\xa6 https://t.co/ljGBRz6jH0'
981590916128526336,2018-04-04 17:54:46,"b'When Roosevelt coined ""bully pulpit,"" he envisioned the White House as a place from which to inspire the nation and\xe2\x80\xa6 https://t.co/6tbKSPNbge'"
981206225076604928,2018-04-03 16:26:08,b'Trump wants to go back to the good old days of more smog and air pollution by rolling back auto air pollution stand\xe2\x80\xa6 https://t.co/rJ8j4tLF9Q'
981013657583841280,2018-04-03 03:40:56,b'Does @realDonaldTrump really like seeing the market go so low?\nhttps://t.co/NPRXQGftTD'
980909885620740096,2018-04-02 20:48:35,b'Do the Republicans even care about Trump\xe2\x80\x99s authoritarian instincts? Attacking Amazon President for owning the Washi\xe2\x80\xa6 https://t.co/4F6oUoPiEz'
980869798446948352,2018-04-02 18:09:18,b'https://t.co/7VErwKWUNa'
980867796233084930,2018-04-02 18:01:20,b'When is the GOP going to put a stop to Trump\xe2\x80\x99s dictatorial instincts? Firing by tweet?  Trying to stop real news?'
980562134416359424,2018-04-01 21:46:45,b'Can\xe2\x80\x99t believe Trump declares no deal on DACA on Easter Sunday! How cruel. \n\nhttps://t.co/Qxg35qc68r'
979385753334702081,2018-03-29 15:52:14,b'With New York Jets quarterback Joe Namath and Sadie. Backstage at Funny Girl. September 1965. #tbt https://t.co/aDhVYPspuC'
979039622314459136,2018-03-28 16:56:50,b'There has not been a question on citizenship on the census form in nearly 70 years. A number of state attorneys gen\xe2\x80\xa6 https://t.co/2nKccFstZD'
978289107670589440,2018-03-26 15:14:33,b'26 March 1964. The opening night of Funny Girl at The Winter Garden. It was exciting! I\xe2\x80\x99m forever grateful for that\xe2\x80\xa6 https://t.co/En3oLqkMwN'
977653472735744002,2018-03-24 21:08:46,b'We need to renew the ban on assault weapons. It worked when Clinton did it in 1994.'
977635233234374662,2018-03-24 19:56:17,"b'In honor of #NationalPuppyDay yesterday, here\xe2\x80\x99s a shot of Miss Fanny posing... https://t.co/7uq2haQojU'"
977617754617470978,2018-03-24 18:46:50,b'Our children are doing more for sensible gun control than congress. Unbelievable. Thank you!'
977324564593115137,2018-03-23 23:21:48,b'Today Karen McDougal breaks her silence. Sunday Stormy Daniels. Life imitating art. Is Trump going to Wag the Dog t\xe2\x80\xa6 https://t.co/QzVM1jEa7v'
977193902376652800,2018-03-23 14:42:36,"b'The adults are leaving the sinking ship... First Cohn, then Dowd, now McMaster... Replaced by ideologues and TV personalities.'"
976516154423472128,2018-03-21 17:49:28,"b"".@realDonaldTrump - Just saying NO COLLUSION doesn't change anything. You're screaming into a hurricane of your own making."""
976496853591232512,2018-03-21 16:32:46,"b'After winning the Republican nomination in 2016, @realDonaldTrump increased - from 4% to a staggering 70% - his use\xe2\x80\xa6 https://t.co/TJvrGqik9A'"
976259930020827137,2018-03-21 00:51:20,b'He admires dictators because that\xe2\x80\x99s what he\xe2\x80\x99d like to become. https://t.co/4paK2Okwqj'
976256219609485318,2018-03-21 00:36:35,b'For those asking... Dress is from @churchboutique with my own piece of lace underneath. The boots are from\xe2\x80\xa6 https://t.co/mxmBOhQNnZ'
976184166625808384,2018-03-20 19:50:16,"b""Leaving Jim's screening of Capricorn One starring my two husbands. https://t.co/myxUyxKQqL"""
976182408675516417,2018-03-20 19:43:17,b'It was an honor to hear former CIA Director John Brennan and former DNI Director James Clapper speak eloquently las\xe2\x80\xa6 https://t.co/Rjw7cf4qAD'
975781994465562627,2018-03-19 17:12:11,"b'.@realDonaldTrump wants to be president for life just like #Putin. He only surrounds himself with sycophants, just\xe2\x80\xa6 https://t.co/8PLw4M5Xlr'"
975774159136436225,2018-03-19 16:41:03,b'Does law and order apply to him as well? https://t.co/BiYm6QKdOw @realDonaldTrump'
975508124139483137,2018-03-18 23:03:55,b'https://t.co/3lKtGxK4PY'
975462812838395905,2018-03-18 20:03:52,b'Not only does Trump admire Putin but is now acting like him... trying to shutdown the Mueller probe!'
975138455356428288,2018-03-17 22:34:59,b'Thank you Ryan Murphy. You were the perfect host. B x. #PaleyFest https://t.co/fkB2wa76tV'
975126025716846594,2018-03-17 21:45:36,b'Thank you for a heartfelt evening @paleycenter - and to everyone who came along. https://t.co/QnHk0FQ4wo'
974768879779090432,2018-03-16 22:06:25,b'Happy St. Patricks Day! Take 20% off the official Barbra Streisand store this weekend! https://t.co/R0fKy0bJ9g https://t.co/AmSHfDRkf1'
974434281941544961,2018-03-15 23:56:51,b'Performing in Central Park in 1967... #tbt https://t.co/gEdhUnnTBe'
974372923644444677,2018-03-15 19:53:02,"b'Proud, inspired and in awe of the #NationalStudentWalkout. These students add the moral imperative to implement sen\xe2\x80\xa6 https://t.co/6vvjLTL6sI'"
974302061415337984,2018-03-15 15:11:27,b'Thank you for sharing your story @Zaron3. Barbra. https://t.co/9RlpdYrlMV via @TeenVogue'
974101412253757441,2018-03-15 01:54:09,b'In honor of Vi and Red (short for Violet and Scarlett). A fan sent me these wonderful flowers. https://t.co/cbe2gYRIW2'
974060462563385344,2018-03-14 23:11:26,b'Why do fake stories sell more than real ones? https://t.co/ckMbeX5rI6'
973980054849015809,2018-03-14 17:51:55,"b'I am proud to support the incredible students behind #MarchForOurLives. On March 24, they march on Washington, DC t\xe2\x80\xa6 https://t.co/K5MJSB0CTV'"
973764784024899584,2018-03-14 03:36:30,b'Was #Tillerson finally fired for not supporting @realDonaldTrump on Russian interference in the election and the Ru\xe2\x80\xa6 https://t.co/AzgxsopIXv'
973702093449191424,2018-03-13 23:27:24,b'The Koch brothers favorite Congressman is now nominated for Secretary of State. A climate change denier at a time t\xe2\x80\xa6 https://t.co/d80d0nKzjm'
973270548343087105,2018-03-12 18:52:35,b'We know @realDonaldTrump watches way too much TV. He thinks he can wrap up the #Russia/obstruction investigation ju\xe2\x80\xa6 https://t.co/3ZX7hvcwbD'
973244866733002754,2018-03-12 17:10:32,b'\xe2\x80\x9cPutin\xe2\x80\x99s best Friend\xe2\x80\x9d? https://t.co/XFrwoil1WG'
972581291064512514,2018-03-10 21:13:44,b'Thank you to @ThePetFund for sending me this letter: https://t.co/qLizgWRWoK'
972311108269715461,2018-03-10 03:20:07,"b'.@realDonaldTrump admits to sexual assault on tape, denies all the women who have come forward, pays off women with\xe2\x80\xa6 https://t.co/MvQoi8LQv6'"
971509781017059328,2018-03-07 22:15:56,"b'Headlines today: Cohn Resigns, Dow falls, Porn Star Sues! Another day in the chaos and incompetence of Trump.'"
971509646182756352,2018-03-07 22:15:24,"b'.@realDonaldTrump continues to punish California. For not voting for him? First offshore oil drilling, now an attem\xe2\x80\xa6 https://t.co/oxUR5hs0Rh'"
971436549664538624,2018-03-07 17:24:56,b'Scarlett and Violet after their bath. \xf0\x9f\x90\xbe https://t.co/MepmtYEnc2'
971134136730750981,2018-03-06 21:23:15,b'The Trump-Russia connections become all the more clear. The White House wants to shut down the investigation but th\xe2\x80\xa6 https://t.co/1SUUADNWM6'
970792769089409026,2018-03-05 22:46:47,b'My new truth alert... https://t.co/s7snYvpOmC https://t.co/esGqkK3w3v'
