id,created_at,text
979764484536520705,2018-03-30 16:57:10,"b'RT @Dictionarycom: Searches for ""bolster"" have \xf0\x9f\x93\x88  on https://t.co/EoMLt7nGp1 today. Thanks @BenAffleck https://t.co/PvGzBfLpnc https://t.co\xe2\x80\xa6'"
979544734044745729,2018-03-30 02:23:58,"b""RT @shatzakis: @BenAffleck @NewYorker You tell em @BenAffleck! I couldn't help think that article was a sophisticated form of subtle bullyi\xe2\x80\xa6"""
979544366539788289,2018-03-30 02:22:30,"b'Thanks, man. https://t.co/zqUREruNM7'"
979371324979245056,2018-03-29 14:54:54,b'@NewYorker I\xe2\x80\x99m doing just fine. Thick skin bolstered by garish tattoos.'
940317662344810496,2017-12-11 20:29:35,b'The Congolese people deserve a country free of violence &amp; instability @easterncongo. Sending prayers to those who a\xe2\x80\xa6 https://t.co/ZRB1AApb1k'
938254253184909312,2017-12-06 03:50:20,b'RT @nytopinion: Ben Affleck: The U.S. government should help steer the democratic process in Congo to a more peaceful outcome https://t.co/\xe2\x80\xa6'
918166049501208576,2017-10-11 17:26:59,b'I acted inappropriately toward Ms. Burton and I sincerely apologize'
917787533802655744,2017-10-10 16:22:54,b'https://t.co/f5AgemRXds'
917428120654934022,2017-10-09 16:34:43,b'RT @justiceleaguewb: Check out the new trailer and see #JusticeLeague in theaters November 17. https://t.co/oGqsLN3U4X'
909187654943682566,2017-09-16 22:50:03,"b'RT @ASPIREist: Check out our first episode at 12pm on HLN to see @BenAffleck, the advocate and philanthropist, talk about his efforts with\xe2\x80\xa6'"
905511542573211649,2017-09-06 19:22:29,b'Thank you @laurenepowell &amp; @emcollective for standing with #DREAMers. Watch &amp; share their latest ad. #DreamAct  https://t.co/l0zDZ3JCk2'
891383296902418432,2017-07-29 19:41:53,"b""The battle to save health care is not over. Today, we're coming together to fight for @OurLives: https://t.co/iLRdawmWhG #OurLives"""
888907071516790787,2017-07-22 23:42:15,b'RT @justiceleaguewb: Make way for justice. Watch the SDCC Hall H Sneak Peek for #JusticeLeague now. In theaters November 17. #WBSDCC https:\xe2\x80\xa6'
887062445042413573,2017-07-17 21:32:22,"b""It's an honor to receive the 2017 #StarkeyGala Humanitarian Award &amp; an honor of a lifetime to have @StarkeyCares as\xe2\x80\xa6 https://t.co/08k3uO5XiS"""
882297167959826432,2017-07-04 17:56:51,b'Thank you to the service men and women who protect our freedom every day. #4thofJuly @the_USO'
875200086288019457,2017-06-15 03:55:35,b'Emmanuel de Merode is a fearless &amp; passionate defender of wildlife in #Congo. Proud to support his work w/\xe2\x80\xa6 https://t.co/AmQUbaAxQF'
873639055971328000,2017-06-10 20:32:37,"b""Adam West exemplified heroism.  Kind, funny and an all around great guy.  Thank you for showing us all how it's done. @therealadamwest"""
873248411981676545,2017-06-09 18:40:20,"b'Always love visiting our longtime partner in #Goma, Children\xe2\x80\x99s Voice \xe2\x80\x93 helping kids recover from conflict. https://t.co/ZUrdYqO9LS'"
873190489603928065,2017-06-09 14:50:10,"b'Hey @DavidOrtiz, your acting in The Town deserves an Oscar! For a chance to meet Big Papi, enter: https://t.co/rv1EuSenDj'"
873011941178048512,2017-06-09 03:00:41,b'An honor to visit #DRC coffee farmers supported by @easterncongo &amp; our partner @Starbucks. Proud to support\xe2\x80\xa6 https://t.co/UW9IkRda4C'
872583458857660416,2017-06-07 22:38:03,"b'Inspiring visit to #DRC. Met with hardworking coffee farmers supported by @easterncongo &amp; partner, @starbucks. https://t.co/tyiHcUTtKR'"
872185813899120640,2017-06-06 20:17:57,b'Honored to visit women farmers in #DRC last week with @EasternCongo. Thx to @starbucks &amp; all partners supporting Co\xe2\x80\xa6 https://t.co/bFX2jk3dAZ'
871852255011622913,2017-06-05 22:12:30,b'Just back home from a listening &amp; learning trip throughout rural eastern Congo. Read about it here\xe2\x80\xa6 https://t.co/JTLNCt8kkE'
863041233119305729,2017-05-12 14:40:39,"b'Can\xe2\x80\x99t wait to be part of the #RedNoseDay special! Check it out on Thursday, May 25th on @NBC.'"
863041006282919938,2017-05-12 14:39:45,"b""RT @ufc: Who's the baddest strawweight on the planet?! We'll find out Saturday night on PPV!! #UFC211 https://t.co/q64zO9Awsq"""
858008291586322432,2017-04-28 17:21:32,"b'Not all superheroes wear capes. Today, we celebrate teachers, mothers, military families, veterans &amp; first responders #NationalSuperheroDay'"
