id,created_at,text
981584752380608514,2018-04-04 17:30:16,b'My happy place \xf0\x9f\x8c\xb4 https://t.co/dVoKIa1BqD'
981562340998074368,2018-04-04 16:01:13,b'Treasure hunting https://t.co/oTyjEf3kCN'
980266011562672128,2018-04-01 02:10:04,"b""RT @WhoWhatWear: Name a 52-year-old with a better bikini collection than @BrookeShields\xe2\x80\x94we'll wait: https://t.co/dnduCEbFzk https://t.co/6a\xe2\x80\xa6"""
979586915514142720,2018-03-30 05:11:35,b'@Allure_magazine \xf0\x9f\x98\x98'
978679305575202817,2018-03-27 17:05:04,b'Another Blue Lagoon...\n\nhttps://t.co/TaQUKHWQ2G https://t.co/cKCfLZMZ6U'
975139378094747648,2018-03-17 22:38:39,"b'RT @strategist: The tea, serum, and lip balm that @BrookeShields loves https://t.co/gWuPosZapA'"
974401796885172227,2018-03-15 21:47:46,"b'RT @wmag: .@BrookeShields shares beauty secrets: ""Water, water, water, sleep, greens. And, love."" https://t.co/l5UbkT95oc'"
974287697584930817,2018-03-15 14:14:23,b'RT @BritishVogue: Take maskspiration from these famous faces: https://t.co/brq8clAGBu https://t.co/JgJFKF92yF'
974103146611044357,2018-03-15 02:01:02,b'RT @QVC: The premiere of @BrookeShields\xe2\x80\x99 Timeless collection is just an hour away! Be sure to catch it on the Q at 11pm ET tonight or shop\xe2\x80\xa6'
974055765903335425,2018-03-14 22:52:46,b'RT @QVC: Tonight\xe2\x80\x99s the night! Catch the premiere of @BrookeShields\xe2\x80\x99 Timeless on the Q at 11pm ET! How excited are you to add to your spring\xe2\x80\xa6'
973989953049899017,2018-03-14 18:31:15,"b'RT @QVC: Ladies, the time has finally come! Timeless by @BrookeShields is premiering tonight at 11pm ET! You won\xe2\x80\x99t want to miss it! Take a\xe2\x80\xa6'"
973965869712887808,2018-03-14 16:55:33,b'SO happy to share my line with you all tonight on @QVC. Tune in at 11pm EST!\n\nhttps://t.co/zpdCmlMYW1 https://t.co/F7x9P8zxcK'
971428388543057920,2018-03-07 16:52:30,b'Twinning @Mariska https://t.co/UEjjkiuqNN https://t.co/Ob9B4Jq4jr'
970701273535254528,2018-03-05 16:43:13,"b""RT @wmag: The Meyerowitz Stories' star @RedHourBen reveals his (no longer) secret first crush on @BrookeShields: https://t.co/DCZPHklgKi"""
970698018721878016,2018-03-05 16:30:17,"b""The feeling when...you've had one too many espressos. Happy Monday everybody! https://t.co/PZrng8qh7E"""
970321370126147584,2018-03-04 15:33:36,b'\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f https://t.co/UK94p7Uaif'
