id,created_at,text
977594661555638272,2018-03-24 17:15:04,b'RT @BarackObama: Michelle and I are so inspired by all the young people who made today\xe2\x80\x99s marches happen. Keep at it. You\xe2\x80\x99re leading us forw\xe2\x80\xa6'
976853165680324610,2018-03-22 16:08:38,b'Hey @USOWomen! I just cleared my schedule and I\xe2\x80\x99ll be there! Looking forward to joining such an inspiring roster of\xe2\x80\xa6 https://t.co/oTm4AYmA8p'
973273455993982976,2018-03-12 19:04:09,"b'RT @BarackObama: Four years ago, @MichelleObama and I had the privilege to host Lt. Cmdr. Dan Cnossen and his fellow Paralympians and Olymp\xe2\x80\xa6'"
971778928607145987,2018-03-08 16:05:26,b'I teamed up with @Refinery29 to mark #InternationalWomensDay and to talk about my passionate commitment to empoweri\xe2\x80\xa6 https://t.co/rN2oPGzxVA'
971074369727467527,2018-03-06 17:25:46,"b""Parker, I'm so glad I had the chance to meet you today (and for the dance party)!  Keep on dreaming big for yoursel\xe2\x80\xa6 https://t.co/KtJxmzfGDI"""
967850313498710017,2018-02-25 19:54:31,b'\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/9Fh1qL2fyO'
967809678578192385,2018-02-25 17:13:03,b'Writing BECOMING has been a deeply personal experience. I talk about my roots and how a girl from the South Side fo\xe2\x80\xa6 https://t.co/wQWzQPfWSb'
966744182105821184,2018-02-22 18:39:08,"b'RT @BarackObama: Young people have helped lead all our great movements. How inspiring to see it again in so many smart, fearless students s\xe2\x80\xa6'"
966483852834287621,2018-02-22 01:24:41,"b'I\xe2\x80\x99m in total awe of the extraordinary students in Florida. Like every movement for progress in our history, gun ref\xe2\x80\xa6 https://t.co/Luns7oj2pc'"
965641575584935936,2018-02-19 17:37:47,"b'Congrats to the entire #blackpanther team! Because of you, young people will finally see superheroes that look like\xe2\x80\xa6 https://t.co/mGf422Nu7k'"
964189017511223304,2018-02-15 17:25:50,b'RT @BarackObama: We are grieving with Parkland. But we are not powerless. Caring for our kids is our first job. And until we can honestly s\xe2\x80\xa6'
963810014191411201,2018-02-14 16:19:48,"b'Happy #ValentinesDay to my one and only, @BarackObama. To celebrate the occasion, I\xe2\x80\x99m dedicating a little Valentine\xe2\x80\xa6 https://t.co/mVCOEIIRct'"
959099068176850944,2018-02-01 16:20:11,"b'To our nation\xe2\x80\x99s young people, I see how hard so many of you work to #ReachHigher, and I want you to know that you i\xe2\x80\xa6 https://t.co/0xAmrznjXK'"
959098811040845824,2018-02-01 16:19:10,b'I am so proud of students all across the country who are getting accepted by their dream schools. These kids won\xe2\x80\x99t\xe2\x80\xa6 https://t.co/QNcMVT8ZO0'
959098585601146881,2018-02-01 16:18:16,"b""There's Verlando, a first-generation college graduate who is now giving back to his community in Baltimore.\xe2\x80\xa6 https://t.co/fXvoQiJ9Ls"""
959098067671834624,2018-02-01 16:16:13,"b""There's Rachel, who I first met in 2014. She is proof that your past doesn't have to dictate your future. She'll be\xe2\x80\xa6 https://t.co/qxfF0M4y5o"""
