id,created_at,text
987693382859460608,2018-04-21 14:03:47,@GautamGambhir is probably the cricketer with the highest speech rate
987555650992590848,2018-04-21 04:56:29,"It's #InfinityWar week! Amazing cast and the usual @Marvel hype. But, will too many cooks spoil the broth? What if… https://t.co/okFS4zY7Gv"
986286073205665792,2018-04-17 16:51:38,0-2 to 213-6. Sloppy bowling :( #RCB #MIvRCB @RCBTweets
986230959107444736,2018-04-17 13:12:38,#RCB must pull off a move like KKR and push Washington Sundar up the order #IPL2018 #MIvRCB
984856297550983168,2018-04-13 18:10:13,"A good start, a great homecoming #ESCN @RCBTweets"
984806625277104129,2018-04-13 14:52:50,What an over! R!C!B! @y_umesh @RCBTweets
982961950698156032,2018-04-08 12:42:46,That's what an opener from Karnataka can do. Brilliant innings @klrahul11 . @RCBTweets must be questioning their bi… https://t.co/RDX9WB2YiV
982683982369378305,2018-04-07 18:18:13,"A batsman who was retired hurt, comes back, in the final over to score the winning runs. What a turn of events! Gre… https://t.co/KPQcY4u7KC"
982618757733462016,2018-04-07 13:59:02,"Sad luck, the blackbuck did not have a #surakshakavach. #SalmanBailTwist @sonakshisinha @BeingSalmanKhan https://t.co/8HYbjm4LWV"
978623092443422722,2018-03-27 13:21:41,About time SRH change their captain too. #SandPaperScissors
977761030205001728,2018-03-25 04:16:10,"No Coulter-Nile for #IPL2018 , that @RCBTweets bowling line up gets weaker by the day."
976728730180771840,2018-03-22 07:54:10,"RT @rvquizcorp: We are proud to announce @GetLocoNow as the Associate Sponsor for Under the Peepal Tree 2018. 
Download the loco app at htt…"
973954603753459712,2018-03-14 16:10:47,"#NidahasTrophy has tested the RCB bowling line up. Promising performance from @yuzi_chahal , Siraj and Washington Sundar."
973533836935090176,2018-03-13 12:18:48,RT @rvquizcorp: He's noted for being one of the top quizmasters to have graced the Indian quizzing circuit.RV QuizCorp is proud to announce…
970316320234528769,2018-03-04 15:13:33,Mark the dates! https://t.co/qcndpVOJbY
965887448168284160,2018-02-20 09:54:47,Fanboy moment xD @ChandanShettyO1 @ RVCE #rangitaranga https://t.co/qHXJrVgkRi
965224056608890882,2018-02-18 13:58:42,Wonder what's with the unusual shape at the end of the bat of @msdhoni #INDvsSA
957677278359568384,2018-01-28 18:10:30,@rramesss Kirik means troublesome in Kannada xD
957675660302045184,2018-01-28 18:04:04,"After Arun Sagar, Srujan Lokesh and Kirik Keerthi, all true entertainers losing out in the finals, it feels good to… https://t.co/si5ABgqJiz"
957144535292784642,2018-01-27 06:53:34,"Welcome to the family, @Bazmccullum . McCullum and Kohli for an opening pair 🙌. #IPLAuction #PlayBold @RCBTweets"
957083530000936960,2018-01-27 02:51:09,@yuzi_chahal and @klrahul11 for RTM. #PlayBold @RCBTweets
956520824638337024,2018-01-25 13:35:10,"Most trending number right now - 
Padmaava + i ( the i is actually imaginary) #Padmaavat @deepikapadukone @RanveerOfficial"
953279924936192001,2018-01-16 14:56:59,"Pennywise, the dancing clown = Boggarts + Death eaters."
949308689726369792,2018-01-05 15:56:43,"#Virushka  might just start trending again, for all the wrong reasons today. Relating personal life to professional… https://t.co/L6s10Jfq77"
944237517124935681,2017-12-22 16:05:41,@rramesss @ImRo45 I swear. He deserves it!
944212948725022720,2017-12-22 14:28:04,Is @ImRo45 trying for a double ton in T20 or what. India on the way of giving SL a ridiculously high target. #INDvSL
944209373471023104,2017-12-22 14:13:51,A 100 partnership between @ImRo45 and @klrahul11 . #india is making it seem so effortless #INDvSL
943512601744437248,2017-12-20 16:05:08,Unbelievable slow over rate #INDvSL
941279301810274304,2017-12-14 12:10:48,@rramesss You bet
941279132020703232,2017-12-14 12:10:07,@SerMelaryon Hogo insta profile build maadu
941218877018476544,2017-12-14 08:10:41,It's been 16 years Mr. Raichand. This movie still manages to have a special place among all of us. #16YearsOfK3G… https://t.co/o8ZE5xi8R6
939786124519542784,2017-12-10 09:17:27,"Looking at this match, there should probably be some batsman who wouldn't give his wicket away. Someone like @cheteshwar1  #INDvSL"
939755460504076289,2017-12-10 07:15:36,Damn! Damn! Damn! Not regretting missing this match. It would be amusing to watch @hardikpandya7 play a solid innin… https://t.co/AtbViYXTH8
939742937033818113,2017-12-10 06:25:50,A very fragile middle order. An early batting collapse was exactly what SL wanted. #INDvSL
939164019780345856,2017-12-08 16:05:25,Clever @Google @GoogleIndia . This deserves a name! Something way cooler than Google Assistant =D. #AI https://t.co/DrvFqx4xyx
937895926244392961,2017-12-05 04:06:28,SQL commands polish your prepositions
937235139326648320,2017-12-03 08:20:44,Huehuehue. Sri Lanka will soon run out of batsmen too. Huehuehue. #IndvSL
937230058149646336,2017-12-03 08:00:33,A 15 man squad ran out of fielders :0. #IndvSL. This series has got its bit of drama.
937190454604341248,2017-12-03 05:23:11,@imVkohli is a phenomenon. 6th double hundred. A classy innings. #INDvSL
936833679975858177,2017-12-02 05:45:29,"Pujara out on a strike rate of 58. Out of his usual pace, loses his wicket. #INDvSL"
934786610343723008,2017-11-26 14:11:10,@abhi_tg The answer lies in your existence
934786462033199104,2017-11-26 14:10:34,"@rramesss We'll get over them. Just like how ""1 like can save a life"" got extinct."
934783933719363585,2017-11-26 14:00:31,Emojis is a social construct.
934319486525513728,2017-11-25 07:14:59,Patience is having a bowling economy of less than 1.5 rpo and a batting strike rate of less than 30. #INDvSL
933961173338275841,2017-11-24 07:31:10,Wonder who the 5th bowler of India would be. Brave move. #IndvSL
933678651257774080,2017-11-23 12:48:32,@rramesss That's not a question you should be asking. :0
932564892841734144,2017-11-20 11:02:51,Amazing last session. @BhuviOfficial amazing spell! India defining what it takes to be the #1 test team. Almost win… https://t.co/MODcN3smk1
932562768137302016,2017-11-20 10:54:24,"D Perera b Kumar 0 (7) 
Sri Lanka would review this to kill time #INDvSL"
932560325987090432,2017-11-20 10:44:42,India in a race against time #INDvSL
931900859004227585,2017-11-18 15:04:13,"Light bulbs, paper drawings. The Byers' house is messy every season. This show gives the chills. #WeekendBingeWatch… https://t.co/tj1RC88lXL"
931771759988109313,2017-11-18 06:31:13,Lakmal ne kamall kar diya. What a spell! 19-12-26-4 . #INDvSL #anagrams
928650793321865217,2017-11-09 15:49:37,RT @NolanBushnell: I am not afraid of Artificial Intelligence but Natural Stupidity.
928650691249180672,2017-11-09 15:49:12,@rramesss Wah wah!
928255731375095809,2017-11-08 13:39:47,@SerMelaryon @xiaomi @XiaomiIndia Probably in a month or so all Redmi phones would have them
928251924670963714,2017-11-08 13:24:39,#MIUI9 Smooth @xiaomi @XiaomiIndia  split screen and camera 👌👌👌 https://t.co/AXcSiwto1V
927915679654690817,2017-11-07 15:08:32,"🙊. Rain rain go away, India wants another game. https://t.co/5dDwZxsXQD"
927877446849871872,2017-11-07 12:36:37,Damn these internals! Can't catch the decider #INDvNZ
926803941802762243,2017-11-04 13:30:53,@abhi_tg Get an audience
926768546264227841,2017-11-04 11:10:14,@rramesss I was dying to use this pun!
926768178989998080,2017-11-04 11:08:47,@rramesss Ugam-e for a game of football always m8
926767671634411521,2017-11-04 11:06:46,Intense acting. Kudos @RanveerOfficial https://t.co/fRkzc0kDDo
926766945516449794,2017-11-04 11:03:52,Sajid khan it is! @SimplySajidK https://t.co/jasywcIWN1
925769212890513413,2017-11-01 16:59:14,#Nehraji farewell to a long carrier.
925740589752098818,2017-11-01 15:05:30,"Dhawan 80
Rohit Sharma 80
Bromance in sync"
924673756122906624,2017-10-29 16:26:17,"People who dub these ads on TV, they don't make it sound regional, they make it sound colloquially alien."
924668564828594181,2017-10-29 16:05:40,What a decider! 668 runs and 13 wickets and a good day of Cricket. Brilliant game. #INDvNZ
924668043795488768,2017-10-29 16:03:35,@Jaspritbumrah93  what a spell! Keep firing in those yorkers. #INDvNZ
924666854718582784,2017-10-29 15:58:52,"In the death overs, @msdhoni is the captain of India again. Great leadership Mahi. #CaptainCool #INDvNZ"
924589695006253059,2017-10-29 10:52:15,"Just when I thought it's gonna be yet another 200, damn! Amazing innings @ImRo45 #INDvsNZ"
923172012918312961,2017-10-25 12:58:54,@TigerZindaHai set for a Christmas release. @BeingSalmanKhan EID misses you. #TigerZindaHai
921771840187404288,2017-10-21 16:15:07,GG @htafcdotcom. Scared the red devils away a week before Halloween 😬 #EPL
921389153702567936,2017-10-20 14:54:27,"Witnessing one such firecracker burst, reminded me of 10th std physics - Light travels faster than sound. https://t.co/c8jrmNtGOh"
920646095679627264,2017-10-18 13:41:48,Deepavali is the best time to judge noise cancelling headsets. #HappyDeepavali
919231088530046976,2017-10-14 15:59:04,"After reading a few murder mysteries. To guess the guilty, rule 1: form all possible anagrams of the characters names."
918862735189852160,2017-10-13 15:35:22,"It's just sad when a match is cancelled, not of rain, but of a wet outfield :/ @BCCI  #AUSvIND #TiedSeries"
