id,created_at,text
974626117968711680,2018-03-16 12:39:08,b'Thanks to the @MapleLeafs for hosting me at what turned out to be a great game on Wednesday night. @NHL https://t.co/O0czHWlIEr'
972246964975828992,2018-03-09 23:05:14,"b'Hey, I\xe2\x80\x99m on Instagram now. https://t.co/KOr3SR0ddA'"
968597234744004608,2018-02-27 21:22:31,"b'The NRA\xe2\x80\x99s media arm, NRATV, uses dangerous rhetoric to spread fear so people will buy more guns.\n\nAdd your name to\xe2\x80\xa6 https://t.co/jG0JOWSxFD'"
967056464371122176,2018-02-23 15:20:02,b'Check out my good friend\xe2\x80\x99s best-selling book on TM @meditationbob https://t.co/1iX8ZYN5pk'
951231264782258176,2018-01-10 23:16:21,b'Can\xe2\x80\x99t wait https://t.co/It4d2xQezS'
951183853456183296,2018-01-10 20:07:57,"b'#BobBenjamin your passion shines through again at @lod_foundation #WinterFest. Great music, good friends &amp; more hop\xe2\x80\xa6 https://t.co/2WNJYUF0Wo'"
935587910224699393,2017-11-28 19:15:14,b'RT @MichaelJFoxOrg: Today we are reaching for another goal: $1 million raised in 1 day. Join us. Your donation will be matched: https://t.c\xe2\x80\xa6'
930185752947970048,2017-11-13 21:29:00,"b'Thanks also to @BillBurr and @EugeneMirman and our host, the author of #WhyWeDontSuck the great @denisleary. You br\xe2\x80\xa6 https://t.co/4K0VONCokP'"
930184926816866304,2017-11-13 21:25:43,b'.@BradPaisley thank you for tearing the @NYHiltonMidtown roof off. You and @Kimwilliamspais made this #foxgala one\xe2\x80\xa6 https://t.co/5p4J8PJJLH'
930183487537238021,2017-11-13 21:20:00,"b'Another incredible @MichaelJFoxOrg #foxgala with so many friends, including Benefit Chairs @annleary @denisleary\xe2\x80\xa6 https://t.co/yH8QG0GPrZ'"
927354204745879552,2017-11-06 01:57:26,b'RT @KelliFox14: Doing some early morning press with CTV for the Escape Room #globetheatrelive @EscapeClubYQR https://t.co/uFnwRBTCHa'
927353781267959809,2017-11-06 01:55:45,"b'RT @PollanFamily: @realmikefox cheering on the runners! @TEAMFOX has 140 runners @nycmarathon and raised over $800,000 to @MichaelJFoxOrg.\xe2\x80\xa6'"
925366189685182464,2017-10-31 14:17:46,"b'.@RealJanePauley, always a class act. Thank you for sharing our work to cure Parkinson\xe2\x80\x99s on @CBSSunday.'"
921416622719545344,2017-10-20 16:43:36,"b""RT @_juliannemoore: Make a big difference in only 5 mins: Text REJECT to 64433 to tell your Rep to #RejectTheNRA's radical agenda. https://\xe2\x80\xa6"""
921088071201943553,2017-10-19 18:58:03,b'In 5 days @denisleary reclaims his title as America\xe2\x80\x99s Top Asshole. #WhyWeDontSuck https://t.co/VF1jC5Ini2'
919951115461984257,2017-10-16 15:40:12,b'14 year old Ryan is leading the next generation of film directors and fundraisers. Amazing. Learn more:\xe2\x80\xa6 https://t.co/hD5gigJu7P'
909502106213564416,2017-09-17 19:39:34,b'At the #CaneloGGG war with my buddy Curtis who is very photogenic https://t.co/FLbSrsTcDc'
908410566317879296,2017-09-14 19:22:11,b'The #InvictusGames are like no other sporting event. A true example of resilience from our wounded veterans. @InvictusToronto Sep 23-30#IAM'
907976147689984002,2017-09-13 14:35:57,"b'At last, a real fight. GGG! https://t.co/cRFrUYVG29'"
904445542675206150,2017-09-03 20:46:35,b'RT @PollanFamily: BBQ! Happy almost Labor Day! https://t.co/4StL7R4aER'
901067364707577856,2017-08-25 13:02:55,b'RT @PollanFamily: Veggies! https://t.co/NnbMJU7pXs'
894364913044508672,2017-08-07 01:09:46,"b'From one McFly to another, thanks to @LeaKThompson and her family for supporting @MichaelJFoxOrg tonight on #CelebrityFamilyFeud'"
891364325889384450,2017-07-29 18:26:30,b'RT @PollanFamily: Rose\xe2\x80\xb2 Elderflower Popsicles anyone? https://t.co/1iyQreRDvR'
887417352022876161,2017-07-18 21:02:38,"b'RT @PollanFamily: Two anniversaries, two anniversary dinners, two days apart! Congrats Tracy and @realmikefox, Corky and Stephen! https://t\xe2\x80\xa6'"
884398166384275456,2017-07-10 13:05:28,b'RT @PollanFamily: Cheers and Happy Summer! https://t.co/ahgBmgnl7a'
881201029559312384,2017-07-01 17:21:12,b'Can you say sesquicentennial? I knew you could. Happy birthday Canada #Canada150 \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6 https://t.co/GORBeRs6JF'
880839489706393600,2017-06-30 17:24:34,"b""Thanks @VancityReynolds, you're just the best. And #brentcarver after all these years, thank you, thank you, thank you. @GGPAA"""
880838344183250945,2017-06-30 17:20:01,"b'My fellow Burnaby boy @michaelbuble, #MartinShort and all the other honourees. It was a special couple of days @GGPAA.'"
880836552309518336,2017-06-30 17:12:53,"b'Love to my homie @joanjett, for going Texas-to-Canada and back in one day to rock out with me at the @GGPAA in Otta\xe2\x80\xa6 https://t.co/GgXBxi8kbQ'"
880833109767450624,2017-06-30 16:59:13,b'Amazing time in Ottawa for the @GGPAA. I am so honoured (CDN sp.) and humbled. Thank you. https://t.co/XR1vVdsIBK'
873217427320045572,2017-06-09 16:37:12,"b'Thx Clark, is that Doug Henning? https://t.co/pBW4V4WbDy'"
873188513319137280,2017-06-09 14:42:19,"b""Gus, stylin' for his human's bday. #dogsinhats https://t.co/unneN0JKQn"""
